Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
ethanol absolute,CARMUSTINE MEDSURGE carmustine 100 mg powder for injection vial with diluent vial,AUST R: 341128,Expected supply: 14 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-04-2025
hydrochlorothiazide,OLMERTAN COMBI 40/25 olmesartan medoxomil and hydrochlorothiazide 40/25 mg tablet blister pack,AUST R: 286100,Expected supply: 16 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-04-2025
alprazolam,KALMA 2 alprazolam 2mg tablet blister pack,AUST R: 385853,Expected supply: 12 Jul 2025,Availability: Limited Availability,Management action: An alternative generic product is available.,Updated 07-04-2025
mirtazapine,AXIT 30 mirtazapine 30mg tablet blister pack,AUST R: 97195,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available,Updated 07-04-2025
oxytocin,SYNTOCINON oxytocin 10 IU/1 mL injection ampoule,AUST R: 13383,Expected supply: 27 Jun 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient.,Updated 07-04-2025
escitalopram oxalate,Escitalopram-TIH escitalopram (as oxalate) 20 mg tablet blister pack,AUST R: 211388,Expected supply: 06 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 07-04-2025
atorvastatin calcium trihydrate,LORSTAT 80 atorvastatin (as calcium trihydrate) 80 mg tablets blister pack,AUST R: 334864,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: Alternative brands are available.,Updated 07-04-2025
salbutamol sulfate,SALBUTAMOL CIPLA salbutamol 5mg/2.5mL (as sulfate) inhalation ampoules,AUST R: 115657,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: An alternative brand is available,Updated 07-04-2025
flecainide acetate,Flecainide Sandoz flecainide acetate 50 mg tablet blister pack,AUST R: 232473,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-04-2025
sodium chloride,Bridgewest SODIUM CHLORIDE 0.9% (90mg/10mL) injection BP ampoule,AUST R: 49278,Expected supply: 31 Mar 2026,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative product are available.,Updated 04-04-2025
ezetimibe,APO-EZETIMIBE ezetimibe 10mg tablet blister pack,AUST R: 263212,Expected supply: 20 Jun 2025,Availability: Limited Availability,Management action: An alternative generic product is available,Updated 04-04-2025
simvastatin,APO-SIMVASTATIN simvastatin 80 mg tablet blister pack,AUST R: 223451,Expected supply: 16 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-04-2025
flecainide acetate,TAMBOCOR flecainide acetate 150mg/15mL injection ampoule,AUST R: 10592,Expected supply: 30 Jun 2025,Availability: Unavailable,"Management action: The sponsor is working to expedite the next shipment. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd, can be contacted for details on supply on 1300 788 261.",Updated 04-04-2025
midazolam,HYPNOVEL midazolam 5mg/1mL (as hydrochloride) injection ampoule,AUST R: 13726,Expected supply: 31 May 2025,Availability: Limited Availability,"Management action: The sponsor is closely controlling the supply. An unregistered product has been approved for supply under Section 19A. The approval holder, Aborns Pharmacuticals Pty Ltd, can be contacted for details on supply on 1300 117 772.",Updated 04-04-2025
clarithromycin,KLACID clarithromycin 250mg tablet blister pack,AUST R: 79564,Expected supply: 10 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-04-2025
ezetimibe,EZEMICHOL ezetimibe 10mg tablet blister pack,AUST R: 263224,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-04-2025
clonidine hydrochloride,APO-CLONIDINE clonidine hydrochloride 100 micrograms tablet bottle,AUST R: 265776,Expected supply: 16 May 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. An alternative product is available.,Updated 04-04-2025
midazolam,Pfizer (Australia) MIDAZOLAM INJECTION midazolam 5mg/1mL injection ampoule,AUST R: 72213,Expected supply: 30 May 2025,Availability: Limited Availability,"Management action: The sponsor is closely controlling the supply. An unregistered product has been approved for supply under Section 19A. The approval holder, Aborns Pharmacuticals Pty Ltd, can be contacted for details on supply on 1300 117 772.",Updated 04-04-2025
midazolam,MIDAZOLAM VIATRIS 5mg/1mL midazolam solution for injection ampoule,AUST R: 160207,Expected supply: 30 Apr 2025,Availability: Limited Availability,"Management action: The sponsor is closely controlling the supply. An unregistered product has been approved for supply under Section 19A. The approval holder, Aborns Pharmacuticals Pty Ltd, can be contacted for details on supply on 1300 117 772.",Updated 04-04-2025
levothyroxine sodium,LEVOXINE levothyroxine sodium 50 micrograms tablet bottle,AUST R: 333525,Expected supply: 25 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 04-04-2025
levothyroxine sodium,LEVOXINE levothyroxine sodium 100 micrograms tablet bottle,AUST R: 333527,Expected supply: 25 Apr 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 04-04-2025
levothyroxine sodium,LEVOXINE levothyroxine sodium 200 micrograms tablet bottle,AUST R: 333526,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 04-04-2025
pramipexole dihydrochloride monohydrate,SIMPRAL pramipexole dihydrochloride monohydrate 1 mg tablet blister pack,AUST R: 173137,Expected supply: 06 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-04-2025
atorvastatin calcium trihydrate,LORSTAT 20 atorvastatin (as calcium trihydrate) 20 mg tablets bottle,AUST R: 334868,Expected supply: 07 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 04-04-2025
levothyroxine sodium,LEVOXINE levothyroxine sodium 75 micrograms tablet bottle,AUST R: 333528,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 04-04-2025
nizatidine,TACIDINE nizatidine 150mg capsule blister pack,AUST R: 94204,Expected supply: 27 Jun 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply.An alternative strength is available.,Updated 04-04-2025
olanzapine,ZYPINE olanzapine 10 mg tablet blister pack,AUST R: 154617,Expected supply: 07 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 04-04-2025
rivaroxaban,RIVAROXABAN SANDOZ rivaroxaban 20 mg film-coated tablet blister pack,AUST R: 335496,Expected supply: 15 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 04-04-2025
sodium chloride,BAXTER 0.9% SODIUM CHLORIDE 900mg/100mL injection BP bag AHB1307/AHB1364,AUST R: 48515,Expected supply: 31 Oct 2025,Availability: Limited Availability,Management action: Overseas-registered alternatives have been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient. The TGA have published a web statement outlining key information about the shortage which is available at https://www.tga.gov.au/safety/shortages/information-about-major-medicine-shortages/about-shortage-intravenous-iv-fluids.,Updated 04-04-2025
Semaglutide,OZEMPIC 0.25/0.5 mg semaglutide (rys) 1.34 mg/mL solution for injection pre-filled pen,AUST R: 308324,Expected supply: 31 Dec 2025,Availability: Limited Availability,Management action: An updated TGA web statement is available at https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/update-ozempic-supply-remain-limited-2025.,Updated 03-04-2025
Semaglutide,OZEMPIC 1 mg semaglutide (rys) 1.34 mg/mL solution for injection pre-filled pen,AUST R: 315107,Expected supply: 31 Dec 2025,Availability: Limited Availability,Management action: An updated TGA web statement is available at https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/update-ozempic-supply-remain-limited-2025.,Updated 03-04-2025
estradiol,ESTRADOT 25 estradiol 25 microgram transdermal drug delivery system sachet,AUST R: 338056,Expected supply: 31 Dec 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Unregistered products have been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient.,Updated 03-04-2025
tirzepatide,MOUNJARO tirzepatide 2.5 mg/0.5 mL solution for injection vial,AUST R: 407055,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: A TGA web alert is available at: https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/shortage-mounjaro-tirzepatide-injections,Updated 03-04-2025
tirzepatide,MOUNJARO tirzepatide 5 mg/0.5 mL solution for injection vial,AUST R: 407050,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: A TGA web alert is available at: https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/shortage-mounjaro-tirzepatide-injections,Updated 03-04-2025
tirzepatide,MOUNJARO tirzepatide 7.5 mg/0.5 mL solution for injection vial,AUST R: 407051,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: A TGA web alert is available at: https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/shortage-mounjaro-tirzepatide-injections,Updated 03-04-2025
tirzepatide,MOUNJARO tirzepatide 10 mg/0.5 mL solution for injection vial,AUST R: 407053,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: A TGA web alert is available at: https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/shortage-mounjaro-tirzepatide-injections,Updated 03-04-2025
tirzepatide,MOUNJARO tirzepatide 12.5 mg/0.5 mL solution for injection vial,AUST R: 407052,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: A TGA web alert is available at: https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/shortage-mounjaro-tirzepatide-injections,Updated 03-04-2025
tirzepatide,MOUNJARO tirzepatide 15 mg/0.5 mL solution for injection vial,AUST R: 407054,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: A TGA web alert is available at: https://www.tga.gov.au/safety/shortages/medicine-shortage-alerts/shortage-mounjaro-tirzepatide-injections,Updated 03-04-2025
estradiol,ESTRADOT 100 estradiol 100 microgram transdermal drug delivery system sachet,AUST R: 338060,Expected supply: 31 Dec 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Unregistered products have been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient.,Updated 03-04-2025
gentamicin,Pfizer (Australia) GENTAMICIN 80mg/2mL (as sulfate) injection BP ampoule,AUST R: 11376,Expected supply: 06 Jun 2025,Availability: Unavailable,"Management action: An unregistered product has also been approved for supply under Section 19A. The approval holder, ORSPEC Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.",Updated 03-04-2025
olanzapine pamoate monohydrate,ZYPREXA RELPREVV olanzapine (as pamoate monohydrate) 210mg powder for injection vial with diluent vial,AUST R: 143658,Expected supply: 27 Jun 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply and working to expedite the next shipment.,Updated 03-04-2025
atorvastatin calcium trihydrate,Ezetast 10/40 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/40 mg tablets blister pack,AUST R: 306958,Expected supply: 04 Jul 2025,Availability: Unavailable,Management action: An alternative generic product is available. The sponsor is working to expedite the next shipment.,Updated 03-04-2025
trandolapril,TRANALPHA trandolapril 1 mg capsules blister pack,AUST R: 198993,Expected supply: 14 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-04-2025
trandolapril,TRANALPHA trandolapril 2 mg capsules blister pack,AUST R: 198994,Expected supply: 14 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-04-2025
trandolapril,TRANALPHA trandolapril 4 mg capsules blister pack,AUST R: 198995,Expected supply: 14 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 03-04-2025
mycophenolate mofetil,CEPTOLATE mycophenolate mofetil 500 mg tablet blister pack,AUST R: 163308,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 03-04-2025
estradiol hemihydrate,ESTRADERM MX 100 estradiol 100 microgram/24 hours transdermal drug delivery system sachet,AUST R: 67090,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Unregistered products have been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient.,Updated 03-04-2025
paracetamol,PARAPANE OSTEO paracetamol 665 mg modified release tablet bottle,AUST R: 376686,Expected supply: 23 May 2025,Availability: Limited Availability,Management action: Alternative brands are available.,Updated 03-04-2025
estradiol,ESTALIS SEQUI 50/140 patches sachet composite pack,AUST R: 338041,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment.,Updated 03-04-2025
gemfibrozil,LIPIGEM gemfibrozil 600mg tablet bottle,AUST R: 61430,Expected supply: 15 Jun 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 03-04-2025
atorvastatin calcium trihydrate,Ezetast 10/20 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/20 mg tablets blister pack,AUST R: 306966,Expected supply: 01 Aug 2025,Availability: Unavailable,Management action: An alternative generic product is available. The sponsor is working to expedite the next shipment.,Updated 03-04-2025
bupivacaine hydrochloride monohydrate,Pfizer (Australia) BUPIVACAINE HYDROCHLORIDE 0.5% (50mg/10mL) injection BP ampoule,AUST R: 11312,Expected supply: 11 Jul 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 03-04-2025
carboplatin,DBL CARBOPLATIN 150mg/15mL injection vial,AUST R: 46845,Expected supply: 16 May 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment. Other strengths are available.,Updated 03-04-2025
atomoxetine hydrochloride,ATOMOXETINE SANDOZ atomoxetine (as hydrochloride) 40 mg capsule blister pack,AUST R: 238369,Expected supply: 15 Jun 2025,Availability: Unavailable,Management action: An alternative generic product is available. The sponsor is working to expedite the next shipment.,Updated 03-04-2025
noradrenaline (norepinephrine) acid tartrate monohydrate,NORADRENALINE JUNO noradrenaline (norepinephrine) (as acid tartrate) 2 mg/2 mL concentrated solution for injection ampoule,AUST R: 232701,Expected supply: 01 Apr 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment. An alternative brand is available.,Updated 03-04-2025
clonidine hydrochloride,CATAPRES 100 clonidine hydrochloride 100 microgram  tablet blister pack,AUST R: 17921,Expected supply: 14 Apr 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 03-04-2025
clonidine hydrochloride,CATAPRES 150 Clonidine hydrochloride 150 microgram tablet blister pack,AUST R: 78376,Expected supply: 14 Apr 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 03-04-2025
betiatide,TECHNESCAN MAG3 Kit for preparation of Technetium (99mTc) mertiatide powder for injection multidose vial,AUST R: 10013,Expected supply: 01 May 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment.,Updated 02-04-2025
adrenaline (epinephrine) acid tartrate,"ADRENALINE-LINK 1:10,000 1mg/10mL adrenaline (epinephrine) acid tartrate injection BP pre filled syringe",AUST R: 210672,Expected supply: 12 May 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 02-04-2025
fluorouracil,FLUOROURACIL ACCORD fluorouracil 5000 mg/100 mL injection vial,AUST R: 285802,Expected supply: 30 Jun 2025,Availability: Unavailable,"Management action: An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 02-04-2025
adrenaline (epinephrine) acid tartrate,"ADRENALINE-LINK 1:1,000 1mg/1mL adrenaline (epinephrine) acid tartrate injection BP ampoule",AUST R: 12048,Expected supply: 16 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 02-04-2025
carbidopa monohydrate,CARLEVENT levodopa/carbidopa/entacapone 125/31.25/200 mg tablet bottle,AUST R: 195748,Expected supply: 19 Sep 2025,Availability: Limited Availability,Management action: Sponsor is closely controlling the supply.,Updated 02-04-2025
deferasirox,Deferasirox Sandoz deferasirox 360 mg film-coated tablet blister pack,AUST R: 362235,Expected supply: 11 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 02-04-2025
azithromycin dihydrate,AZITHROMYCIN SANDOZ azithromycin (as dihydrate) 500mg tablet blister pack,AUST R: 158292,Expected supply: 14 Apr 2025,Availability: Unavailable,"Management action: Alternative generic products are available. An unregistered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd, can be contacted for details on supply on 0422 429 648.",Updated 02-04-2025
atomoxetine hydrochloride,ATOMOXETINE SANDOZ atomoxetine (as hydrochloride) 80 mg capsule blister pack,AUST R: 238371,Expected supply: 05 May 2025,Availability: Unavailable,Management action: An alternative generic product is available. Sponsor is working to expedite the next shipment.,Updated 02-04-2025
amlodipine besilate,SEVIKAR HCT 40/5/12.5 olmesartan medoxomil 40 mg amlodipine (as besilate) 5 mg and hydrochlorothiazide 12.5 mg tablet blister pack,AUST R: 199006,Expected supply: 14 Apr 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 02-04-2025
benzathine benzylpenicillin tetrahydrate,"BICILLIN L-A-benzathine benzylpenicillin tetrahydrate 600,000 units/1.17 mL suspension for injection syringe with needle",AUST R: 293456,Expected supply: 30 Sep 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment.,Updated 01-04-2025
timolol maleate,TIMOPTOL timolol maleate 0.5% eye drops bottle,AUST R: 28775,Expected supply: 04 Apr 2025,Availability: Unavailable,Management action: Mundipharma has made the decision to reinstate Timoptol eye drops as an ongoing product available in the Australian market. An unregistered product has been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals,Updated 01-04-2025
olanzapine,ZYPREXA IM olanzapine 10mg powder for injection vial,AUST R: 76867,Expected supply: 30 Jun 2025,Availability: Limited Availability,"Management action: The sponsor is closely controlling the supply and working to expedite the next shipment. An unregistered product has been approved for supply under Section 19A. The approval holder, Orspec Pharma Pty Ltd, can be contacted for details on supply on (02) 4339 4239.",Updated 01-04-2025
efavirenz,TENOFOVIR DISOPROXIL/EMTRICITABINE/EFAVIRENZ Viatris 300/200/600 tenofovir disoproxil maleate 300mg/emtricitabine 200mg/efavirenz 600mg tablet bottle,AUST R: 280721,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Patients are advised to consult their healthcare professional to discuss alternative treatment options.,Updated 01-04-2025
risedronate sodium,RISEDRONATE SANDOZ risedronate sodium 35mg tablet blister pack,AUST R: 154854,Expected supply: 15 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available. The sponsor is working to expedite the next shipment,Updated 01-04-2025
bicisate dihydrochloride,NEUROLITE bicisate dihydrochloride 0.9mg/mL kit for the preparation of technetium [99Tc] bicisate injection vial composite pack,AUST R: 73014,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: The sponsor is closely controlling the supply and working to expedite the next shipment.,Updated 01-04-2025
rivaroxaban,RIVAROXABAN SANDOZ rivaroxaban 10 mg film-coated tablet blister pack,AUST R: 335415,Expected supply: 18 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 01-04-2025
propofol,FRESOFOL 1% MCT/LCT propofol 1000mg/100mL emulsion for intravenous injection/infusion vial,AUST R: 193610,Expected supply: 07 Apr 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 01-04-2025
rifampicin,RIMYCIN 300 rifampicin 300 mg capsule bottle,AUST R: 48231,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: The sponsor is closely controlling the supply. An alternative generic product is available.,Updated 01-04-2025
emtricitabine,TENOFOVIR DISOPROXIL EMTRICITABINE VIATRIS 300/200 tenofovir disoproxil maleate 300 mg and emtricitabine 200 mg film coated tablet bottle,AUST R: 265834,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. The approval holder Phero Pharma Pty Ltd can be contacted on 1800 720 020 for enquiries about supply.,Updated 31-03-2025
prasugrel,PRASUGREL LUPIN prasugrel 5 mg film-coated tablet blister pack,AUST R: 314201,Expected supply: 16 Apr 2025,Availability: Unavailable,,Updated 31-03-2025
tenofovir disoproxil maleate,TENOFOVIR DISOPROXIL VIATRIS tenofovir disoproxil maleate 300 mg film coated tablet bottle,AUST R: 261093,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 31-03-2025
raloxifene hydrochloride,"RALOVISTA Raloxifene hydrochloride 60 mg tablets, blister pack",AUST R: 207898,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 31-03-2025
spironolactone,SPIRONOLACTONE VIATRIS 25 spironolactone 25 mg tablet bottle,AUST R: 338091,Expected supply: 02 May 2025,Availability: Unavailable,Management action: The sponsor is closely controlling the supply.Alternative brands are available.,Updated 31-03-2025
venlafaxine hydrochloride,VENLAFAXINE GENERICHEALTH XR venlafaxine (as hydrochloride) 150mg modified release capsule blister,AUST R: 151876,Expected supply: 25 Dec 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 31-03-2025
armodafinil,NUVIGIL armodafinil 50 mg tablet blister pack,AUST R: 272052,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Patients are advised to consult their healthcare professional to discuss alternative treatment options.,Updated 31-03-2025
bisoprolol fumarate,BICARD 2.5 bisoprolol fumarate 2.5 mg tablet blister pack,AUST R: 164257,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 31-03-2025
risperidone,RISPA risperidone 3 mg film-coated tablet blister pack,AUST R: 159968,Expected supply: 23 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-03-2025
levetiracetam,LEVI 1000 levetiracetam 1000 mg tablet blister pack,AUST R: 168794,Expected supply: 20 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 28-03-2025
neostigmine methylsulfate,NEOSTIGMINE JUNO neostigmine methylsulfate 2.5 mg/1 mL solution for injection ampoule,AUST R: 219054,Expected supply: 31 May 2025,Availability: Unavailable,Management action: An unregistered product has been approved for supply under Section 19A. Please contact Juno Pharmaceuticals on: 03 88881288 for further details.,Updated 28-03-2025
acamprosate calcium,APO-ACAMPROSATE acamprosate calcium 333 mg enteric coated tablets blister,AUST R: 286652,Expected supply: 29 Aug 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 28-03-2025
anastrozole,APO-ANASTROZOLE anastrozole 1 mg film-coated tablet blister pack,AUST R: 266676,Expected supply: 20 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 28-03-2025
linezolid,LINEVOX linezolid 600mg tablet blister pack,AUST R: 237304,Expected supply: 22 Aug 2025,Availability: Limited Availability,Management action: Alternative brands are available.,Updated 28-03-2025
galantamine hydrobromide,APO-GALANTAMINE MR galantamine (as hydrobromide) 8 mg modified release capsules blister pack,AUST R: 182030,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-03-2025
galantamine hydrobromide,APO-GALANTAMINE MR galantamine (as hydrobromide) 16 mg modified release capsules blister pack,AUST R: 182041,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-03-2025
galantamine hydrobromide,GAMINE XR galantamine (as hydrobromide) 8mg modified release capsules blister pack,AUST R: 182028,Expected supply: 24 Oct 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 28-03-2025
dosulepin (dothiepin) hydrochloride,DOTHEP 25 dosulepin (dothiepin) hydrochloride 25mg capsule blister pack,AUST R: 34419,Expected supply: 16 May 2025,Availability: Limited Availability,Management action: An alternative brand is available.,Updated 28-03-2025
ciprofloxacin hydrochloride,APO-CIPROFLOXACIN ciprofloxacin 250mg  (as hydrochloride) tablet blister pack,AUST R: 135650,Expected supply: 20 Jun 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 28-03-2025
fenofibrate,LIPIDIL fenofibrate 145 mg tablet blister pack,AUST R: 118634,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply. Alternative brands are available.,Updated 28-03-2025
isotretinoin,APO-ISOTRETINOIN isotretinoin 10mg capsule - soft blister pack,AUST R: 190940,Expected supply: 16 May 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 28-03-2025
sumatriptan succinate,IPTAM sumatriptan (as succinate) 100mg tablet blister pack,AUST R: 124087,Expected supply: 25 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
metformin hydrochloride,DIAFORMIN 850 metformin hydrochloride 850 mg tablet blister pack,AUST R: 73808,Expected supply: 27 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
